@tick,ticktime
1,5.3795199E7
2,2.21028E7
3,4.88873E7
4,4.9385099E7
5,5.0028499E7
6,5.0599199E7
7,4.9632801E7
8,4.91894E7
9,4.9557999E7
10,5.15643E7
11,4.8347401E7
12,5.05067E7
13,5.036E7
14,4.9932301E7
15,4.96092E7
16,5.12642E7
17,4.8894599E7
18,5.08693E7
19,5.00736E7
20,4.98149E7
21,4.96408E7
22,5.01974E7
23,4.9169101E7
24,4.99995E7
25,4.9386501E7
26,5.12827E7
27,4.8815401E7
28,4.9715001E7
29,4.98456E7
30,5.00434E7
31,4.9744E7
32,5.0687199E7
33,5.09053E7
34,4.8667601E7
35,5.10424E7
36,4.8353001E7
37,5.01508E7
38,4.96427E7
39,4.97119E7
40,5.02025E7
41,4.9900199E7
42,5.00015E7
43,5.0065999E7
44,5.0581801E7
45,4.96235E7
46,5.10481E7
47,4.99691E7
48,4.9300299E7
49,5.0454901E7
50,5.0321201E7
51,4.83151E7
52,5.01992E7
53,4.95417E7
54,4.9887299E7
55,4.98813E7
56,5.095E7
57,4.97739E7
58,4.92434E7
59,5.07448E7
60,4.99083E7
61,4.91977E7
62,4.9979901E7
63,4.99933E7
64,5.0584101E7
65,5.0155601E7
66,4.9498701E7
67,5.15071E7
68,4.83253E7
69,4.99392E7
70,5.0424999E7
71,5.08121E7
72,4.87463E7
73,4.9667199E7
74,5.04202E7
75,5.11519E7
76,4.8822299E7
77,5.11592E7
78,4.8633701E7
79,5.01393E7
80,5.0041101E7
81,5.0125999E7
82,4.93507E7
83,5.06317E7
84,4.99512E7
85,4.9967501E7
86,4.9317299E7
87,5.0593099E7
88,5.1364499E7
89,4.79656E7
90,5.08208E7
91,5.11004E7
92,4.87551E7
93,4.96293E7
94,5.04912E7
95,5.09261E7
96,4.82162E7
97,5.0626099E7
98,5.10428E7
99,4.9142499E7
100,4.9644199E7
101,4.94793E7
102,5.04149E7
103,5.0685299E7
104,4.8891601E7
105,5.02954E7
106,4.9855101E7
107,4.95881E7
108,5.0263801E7
109,5.02752E7
110,5.0246301E7
111,4.97751E7
112,4.9734299E7
113,4.9754599E7
114,5.15483E7
115,4.83097E7
116,5.0392E7
117,5.1134401E7
118,4.8584901E7
119,5.1649901E7
120,4.8558401E7
121,5.0389399E7
122,4.97603E7
123,5.0682701E7
124,5.011E7
125,4.8993E7
126,5.00906E7
127,4.98322E7
128,5.00813E7
129,4.98628E7
130,5.10145E7
131,4.82082E7
132,5.02928E7
133,4.9753201E7
134,4.99992E7
135,5.1152E7
136,4.9370501E7
137,4.98726E7
138,5.0099E7
139,4.98512E7
140,4.99912E7
141,5.09372E7
142,4.88542E7
143,5.0775301E7
144,4.8970899E7
145,4.97662E7
146,4.98218E7
147,5.0434499E7
148,4.9736699E7
149,5.06497E7
150,4.9558899E7
151,4.99272E7
152,5.14233E7
153,5.0020599E7
154,4.8396E7
155,5.0045501E7
156,4.96781E7
157,5.0190399E7
158,5.05776E7
159,4.97334E7
160,5.0264799E7
161,4.9705999E7
162,5.1018E7
163,4.8872501E7
164,5.06597E7
165,4.9162001E7
166,5.0424899E7
167,4.9819301E7
168,5.08922E7
169,4.82208E7
170,5.0706999E7
171,5.03926E7
172,4.9726601E7
173,4.9337499E7
174,5.14028E7
175,4.9158501E7
176,4.98903E7
177,5.00657E7
178,4.9632899E7
179,4.96494E7
180,4.9982E7
181,5.13687E7
182,4.89347E7
183,5.07331E7
184,5.03405E7
185,4.8288099E7
186,5.14123E7
187,4.858E7
188,5.03469E7
189,4.9868999E7
190,4.9970701E7
191,4.9847799E7
192,5.04716E7
193,5.00736E7
194,4.93245E7
195,4.99438E7
196,5.03904E7
197,5.02493E7
198,5.00002E7
199,5.07053E7
200,4.95904E7
201,4.93307E7
